/		CG-6 Survey																					
/		Survey Name:	ENDUT_11																				
/		Instrument Serial Number:	21010311																				
/		Created:	08/04/2021 00:53																				
/																							
/		CG-6 Calibration																					
/		Operator:	ROBBY																				
/		Gcal1 [mGal]:	8178.449																				
/		Goff [ADU]:	-8388608																				
/		Gref [mGal]:	0																				
/		X Scale [arc-sec/ADU]:	0.030973																				
/		Y Scale [arc-sec/ADU]:	0.031031																				
/		X Offset [ADU]:	-273519																				
/		Y Offset [ADU]:	-173957																				
/		Temperature Coefficient [mGal/mK]:	-0.132																				
/		Temperature Scale [mK/ADU]:	-0.000111																				
/		Drift Rate [mGal/day]:	-0.12113																				
/		Drift Zero Time:	01/01/1970 00:00																				
/		Firmware Version:	CG6_2_20190125																				
/																							
/Station	Date	Time	CorrGrav	Line	StdDev	StdErr	RawGrav	X	Y	SensorTemp	TideCorr	TiltCorr	TempCorr	DriftCorr	MeasurDur	InstrHeight	LatUser	LonUser	ElevUser	LatGPS	LonGPS	ElevGPS	Corrections[drift-temp-na-tide-tilt]
GE195	08/04/2021	05:36:48	4364.9146	0	0.0272	0.0035	2096.4681	-3.7	1.6	1.4157	0.0704	0.0002	0.1876	2268.1883	60	0	-6.615024	106.346237	1040.1	-6.615057	106.346336	1038.3	11011
GE195	08/04/2021	05:37:48	4364.9102	0	0.0193	0.0025	2096.4646	-3.1	-1.9	1.413	0.0695	0.0002	0.1875	2268.1884	60	0	-6.615024	106.346237	1040.1	-6.615052	106.346336	1038.3	11011
GE195	08/04/2021	05:38:48	4364.9073	0	0.0328	0.0042	2096.4623	-4.6	-3.3	1.4172	0.0686	0.0004	0.1874	2268.1885	60	0	-6.615024	106.346237	1040.1	-6.615046	106.346352	1038.5	11011
GE195	08/04/2021	05:39:48	4364.9017	0	0.0286	0.0037	2096.4578	-4.8	-5.2	1.4249	0.0678	0.0006	0.1871	2268.1885	60	0	-6.615024	106.346237	1040.1	-6.615053	106.346336	1037.8	11011
GE195	08/04/2021	05:40:48	4364.9002	0	0.0229	0.003	2096.4568	-5.4	-8.2	1.4104	0.0669	0.0011	0.1868	2268.1886	60	0	-6.615024	106.346237	1040.1	-6.615098	106.34639	1037.7	11011
GE197	08/04/2021	06:09:41	4388.3122	0	0.0344	0.0044	2119.8923	-3.2	4.9	1.4181	0.0409	0.0004	0.1875	2268.1911	60	0	-6.613542	106.341568	962.1	-6.613545	106.341583	961	11011
GE197	08/04/2021	06:10:41	4388.3098	0	0.0284	0.0037	2119.8909	-1.5	4.9	1.4177	0.04	0.0003	0.1874	2268.1911	60	0	-6.613542	106.341568	962.1	-6.613545	106.341606	960.9	11011
GE197	08/04/2021	06:11:41	4388.3094	0	0.027	0.0035	2119.8914	1.4	4.5	1.4242	0.0391	0.0003	0.1874	2268.1912	60	0	-6.613542	106.341568	962.1	-6.613528	106.341606	960.6	11011
GE197	08/04/2021	06:12:41	4388.3077	0	0.0336	0.0043	2119.8906	4.7	3.8	1.4189	0.0382	0.0005	0.1871	2268.1913	60	0	-6.613542	106.341568	962.1	-6.613534	106.341621	960.4	11011
GE197	08/04/2021	06:13:41	4388.3051	0	0.0414	0.0053	2119.889	5.7	2.9	1.422	0.0373	0.0005	0.187	2268.1914	60	0	-6.613542	106.341568	962.1	-6.613516	106.341583	960	11011
GE197	08/04/2021	06:15:18	4388.3085	0	0.0273	0.0035	2119.8942	-0.1	3.5	1.4153	0.0358	0.0002	0.1867	2268.1915	60	0	-6.613542	106.341568	962.1	-6.613497	106.341545	960.1	11011
GE197	08/04/2021	06:16:18	4388.3057	0	0.0326	0.0042	2119.8925	1.1	2.8	1.4201	0.0349	0.0001	0.1866	2268.1916	60	0	-6.613542	106.341568	962.1	-6.613515	106.341507	959	11011
GE197	08/04/2021	06:17:18	4388.3059	0	0.0195	0.0025	2119.8934	2.4	2.3	1.4136	0.034	0.0002	0.1867	2268.1917	60	0	-6.613542	106.341568	962.1	-6.61352	106.341621	956.7	11011
GE197	08/04/2021	06:18:18	4388.3055	0	0.0307	0.004	2119.8941	3.5	2.5	1.4075	0.0331	0.0002	0.1864	2268.1918	60	0	-6.613542	106.341568	962.1	-6.613531	106.341553	956.4	11011
GE197	08/04/2021	06:19:18	4388.3044	0	0.0251	0.0032	2119.8936	5.6	1	1.4172	0.0322	0.0004	0.1864	2268.1919	60	0	-6.613542	106.341568	962.1	-6.613533	106.341553	956.2	11011
GE199	08/04/2021	06:52:24	4411.3635	0	0.0267	0.0034	2142.9776	-1.9	0.8	1.4245	0.0028	0.0001	0.1883	2268.1946	60	0	-6.612072	106.335846	871.7	-6.612129	106.335655	855.8	11011
GE199	08/04/2021	06:53:24	4411.3628	0	0.0274	0.0035	2142.9777	-0.4	-1	1.4204	0.0019	0	0.1884	2268.1947	60	0	-6.612072	106.335846	871.7	-6.61214	106.335709	853.1	11011
GE199	08/04/2021	06:54:24	4411.3591	0	0.0341	0.0044	2142.9747	1	-3.4	1.4235	0.0011	0.0002	0.1882	2268.1948	60	0	-6.612072	106.335846	871.7	-6.61215	106.335709	851	11011
GE199	08/04/2021	06:55:24	4411.3562	0	0.0437	0.0056	2142.9723	0.2	-5.6	1.4206	0.0002	0.0004	0.1884	2268.1949	60	0	-6.612072	106.335846	871.7	-6.612109	106.335655	842.2	11011
GE199	08/04/2021	06:56:24	4411.3536	0	0.0335	0.0043	2142.9703	0.1	-7.3	1.4227	-0.0006	0.0006	0.1884	2268.195	60	0	-6.612072	106.335846	871.7	-6.612109	106.335594	842.4	11011
